source,source URI,source PoS,target,target URI,target PoS,ok?,comment
{sætte tegn_§9},https://wordnet.dk/dannet/data/synset-27614,noun,{skrive_§1},https://wordnet.dk/dannet/data/synset-1840,verb,yes,
{føre til protokols_§5},https://wordnet.dk/dannet/data/synset-22559,noun,{skrive_§1},https://wordnet.dk/dannet/data/synset-1840,verb,yes,
{slå mønt_§5},https://wordnet.dk/dannet/data/synset-31954,noun,{fremstille_§1},https://wordnet.dk/dannet/data/synset-1656,verb,yes,
{drage nytte_1§2 af},https://wordnet.dk/dannet/data/synset-69907,noun,{anvende_§1; benytte_§1; bruge_§1},https://wordnet.dk/dannet/data/synset-42858,verb,yes,
{ikke ligge på den lade side_§10},https://wordnet.dk/dannet/data/synset-75257,noun,{gøre_§1; handle_§1},https://wordnet.dk/dannet/data/synset-2331,verb,yes,
{holde liv_§19 i},https://wordnet.dk/dannet/data/synset-47450,noun,{gøre_§1; handle_§1},https://wordnet.dk/dannet/data/synset-2331,verb,yes,
{stikke en plade_§14},https://wordnet.dk/dannet/data/synset-72750,noun,{berette_§1; fortælle_§2},https://wordnet.dk/dannet/data/synset-37047,verb,yes,
{krænge sjælen_§6 ud},https://wordnet.dk/dannet/data/synset-72753,noun,{berette_§1; fortælle_§2},https://wordnet.dk/dannet/data/synset-37047,verb,yes,
{løbe med snak_§9},https://wordnet.dk/dannet/data/synset-72754,noun,{berette_§1; fortælle_§2},https://wordnet.dk/dannet/data/synset-37047,verb,yes,
{trække vod_§2},https://wordnet.dk/dannet/data/synset-72879,noun,{fiske_§1},https://wordnet.dk/dannet/data/synset-2736,verb,yes,
{gøre kål_§2a på},https://wordnet.dk/dannet/data/synset-74785,noun,{spise_2§1; æde_2§1},https://wordnet.dk/dannet/data/synset-124,verb,yes,
{få noget i skuffen_1§2},https://wordnet.dk/dannet/data/synset-74797,noun,{spise_2§1; æde_2§1},https://wordnet.dk/dannet/data/synset-124,verb,yes,
{æde som et tærskeværk_§2},https://wordnet.dk/dannet/data/synset-74814,noun,{spise_2§1; æde_2§1},https://wordnet.dk/dannet/data/synset-124,verb,yes,
{lægge bunden_§14},https://wordnet.dk/dannet/data/synset-74775,noun,{spise_2§1; æde_2§1},https://wordnet.dk/dannet/data/synset-124,verb,yes,
{spise som en fugl_§14},https://wordnet.dk/dannet/data/synset-74779,noun,{spise_2§1; æde_2§1},https://wordnet.dk/dannet/data/synset-124,verb,yes,
{sætte til livs_§38},https://wordnet.dk/dannet/data/synset-74788,noun,{spise_2§1; æde_2§1},https://wordnet.dk/dannet/data/synset-124,verb,yes,
{æde/spise nogen ud af huset_§25},https://wordnet.dk/dannet/data/synset-74781,noun,{spise_2§1; æde_2§1},https://wordnet.dk/dannet/data/synset-124,verb,yes,
{spise af nogens hånd_§68},https://wordnet.dk/dannet/data/synset-74782,noun,{spise_2§1; æde_2§1},https://wordnet.dk/dannet/data/synset-124,verb,yes,
{spise med kniv_§10 og gaffel},https://wordnet.dk/dannet/data/synset-74784,noun,{spise_2§1; æde_2§1},https://wordnet.dk/dannet/data/synset-124,verb,yes,
{tage næring_§4 til sig},https://wordnet.dk/dannet/data/synset-74790,noun,{spise_2§1; æde_2§1},https://wordnet.dk/dannet/data/synset-124,verb,yes,
{lade vederfares (fuld) retfærdighed_§2; yde (fuld) retfærdighed_§1a},https://wordnet.dk/dannet/data/synset-74795,noun,{spise_2§1; æde_2§1},https://wordnet.dk/dannet/data/synset-124,verb,yes,
{få noget i skrutten_§1},https://wordnet.dk/dannet/data/synset-74796,noun,{spise_2§1; æde_2§1},https://wordnet.dk/dannet/data/synset-124,verb,yes,
{sætte tænderne i noget_§14},https://wordnet.dk/dannet/data/synset-74809,noun,{spise_2§1; æde_2§1},https://wordnet.dk/dannet/data/synset-124,verb,yes,
{over kors_§7},https://wordnet.dk/dannet/data/synset-27542,noun,{anbringe_§1},https://wordnet.dk/dannet/data/synset-27496,verb,no,prepositional fragment of 'lægge armene over kors'
{i pleje_1§3},https://wordnet.dk/dannet/data/synset-27572,noun,{anbringe_§1},https://wordnet.dk/dannet/data/synset-27496,verb,no,prepositional fragment of 'anbringe i pleje'
{lægge armene_1§17 over kors},https://wordnet.dk/dannet/data/synset-27497,noun,{anbringe_§1},https://wordnet.dk/dannet/data/synset-27496,verb,yes,
{sætte sig mellem to stole_§9},https://wordnet.dk/dannet/data/synset-27602,noun,{anbringe_§1},https://wordnet.dk/dannet/data/synset-27496,verb,yes,
{få galt i halsen_§7},https://wordnet.dk/dannet/data/synset-74899,noun,{indtage_§1; røre_2§1c},https://wordnet.dk/dannet/data/synset-637,verb,yes,
{få øje_1§9 på},https://wordnet.dk/dannet/data/synset-64327,noun,{opdage_§1},https://wordnet.dk/dannet/data/synset-46850,verb,yes,
{tage afstand_§5},https://wordnet.dk/dannet/data/synset-21838,noun,{udtrykke_§1},https://wordnet.dk/dannet/data/synset-22006,verb,yes,
{tale i gåder_§2},https://wordnet.dk/dannet/data/synset-21874,noun,{udtrykke_§1},https://wordnet.dk/dannet/data/synset-22006,verb,yes,
