target,target URI,target PoS,n,source,source URI,source PoS,retarget candidates,decision,retarget to,comment
{talehandling_§1},https://wordnet.dk/dannet/data/synset-21582,noun,60,{besnakke_§1},https://wordnet.dk/dannet/data/synset-21445,verb,,,,
{talehandling_§1},https://wordnet.dk/dannet/data/synset-21582,noun,60,{bjæffe_§1a},https://wordnet.dk/dannet/data/synset-21446,verb,,,,
{talehandling_§1},https://wordnet.dk/dannet/data/synset-21582,noun,60,{blære_2§2 sig},https://wordnet.dk/dannet/data/synset-21447,verb,,,,
{talehandling_§1},https://wordnet.dk/dannet/data/synset-21582,noun,60,{brovte_§1},https://wordnet.dk/dannet/data/synset-21449,verb,,,,
{talehandling_§1},https://wordnet.dk/dannet/data/synset-21582,noun,60,{brumme_1§1a},https://wordnet.dk/dannet/data/synset-21450,verb,,,,
{talehandling_§1},https://wordnet.dk/dannet/data/synset-21582,noun,60,{brumme_1§1b},https://wordnet.dk/dannet/data/synset-21451,verb,,,,
{talehandling_§1},https://wordnet.dk/dannet/data/synset-21582,noun,60,{bræge_§1a},https://wordnet.dk/dannet/data/synset-21452,verb,,,,
{talehandling_§1},https://wordnet.dk/dannet/data/synset-21582,noun,60,{bugtale_§1},https://wordnet.dk/dannet/data/synset-21453,verb,,,,
{talehandling_§1},https://wordnet.dk/dannet/data/synset-21582,noun,60,{buldre_§1a},https://wordnet.dk/dannet/data/synset-21454,verb,,,,
{talehandling_§1},https://wordnet.dk/dannet/data/synset-21582,noun,60,{causere_§1},https://wordnet.dk/dannet/data/synset-21456,verb,,,,
{talehandling_§1},https://wordnet.dk/dannet/data/synset-21582,noun,60,{docere_§1a},https://wordnet.dk/dannet/data/synset-21460,verb,,,,
{talehandling_§1},https://wordnet.dk/dannet/data/synset-21582,noun,60,{dræve_§1},https://wordnet.dk/dannet/data/synset-21461,verb,,,,
{talehandling_§1},https://wordnet.dk/dannet/data/synset-21582,noun,60,{fable_§1a},https://wordnet.dk/dannet/data/synset-21468,verb,,,,
{talehandling_§1},https://wordnet.dk/dannet/data/synset-21582,noun,60,{fable_§1},https://wordnet.dk/dannet/data/synset-21467,verb,,,,
{talehandling_§1},https://wordnet.dk/dannet/data/synset-21582,noun,60,{gabe_§1c},https://wordnet.dk/dannet/data/synset-21477,verb,,,,
{talehandling_§1},https://wordnet.dk/dannet/data/synset-21582,noun,60,{gale_§1a; skrige_§2},https://wordnet.dk/dannet/data/synset-21552,verb,,,,
{talehandling_§1},https://wordnet.dk/dannet/data/synset-21582,noun,60,{gispe_§2},https://wordnet.dk/dannet/data/synset-21480,verb,,,,
{talehandling_§1},https://wordnet.dk/dannet/data/synset-21582,noun,60,{hakke_2§3a},https://wordnet.dk/dannet/data/synset-21483,verb,,,,
{talehandling_§1},https://wordnet.dk/dannet/data/synset-21582,noun,60,{hikke_2§1a},https://wordnet.dk/dannet/data/synset-21484,verb,,,,
{talehandling_§1},https://wordnet.dk/dannet/data/synset-21582,noun,60,{hviske_§1b},https://wordnet.dk/dannet/data/synset-21488,verb,,,,
{talehandling_§1},https://wordnet.dk/dannet/data/synset-21582,noun,60,{hviske_§1},https://wordnet.dk/dannet/data/synset-21487,verb,,,,
{talehandling_§1},https://wordnet.dk/dannet/data/synset-21582,noun,60,{hvisle_§2},https://wordnet.dk/dannet/data/synset-21489,verb,,,,
{talehandling_§1},https://wordnet.dk/dannet/data/synset-21582,noun,60,{hvæse_§1a},https://wordnet.dk/dannet/data/synset-21490,verb,,,,
{talehandling_§1},https://wordnet.dk/dannet/data/synset-21582,noun,60,{hyle_§2},https://wordnet.dk/dannet/data/synset-21491,verb,,,,
{talehandling_§1},https://wordnet.dk/dannet/data/synset-21582,noun,60,{kagle_§1a},https://wordnet.dk/dannet/data/synset-21498,verb,,,,
{talehandling_§1},https://wordnet.dk/dannet/data/synset-21582,noun,60,{knurre_§1b},https://wordnet.dk/dannet/data/synset-21501,verb,,,,
{talehandling_§1},https://wordnet.dk/dannet/data/synset-21582,noun,60,{kurre_2§1a},https://wordnet.dk/dannet/data/synset-21502,verb,,,,
{talehandling_§1},https://wordnet.dk/dannet/data/synset-21582,noun,60,{kvidre_§1a},https://wordnet.dk/dannet/data/synset-21504,verb,,,,
{talehandling_§1},https://wordnet.dk/dannet/data/synset-21582,noun,60,{kvække_§1a},https://wordnet.dk/dannet/data/synset-21505,verb,,,,
{talehandling_§1},https://wordnet.dk/dannet/data/synset-21582,noun,60,{kæfte_§1 op},https://wordnet.dk/dannet/data/synset-21507,verb,,,,
{talehandling_§1},https://wordnet.dk/dannet/data/synset-21582,noun,60,{lalle_§2},https://wordnet.dk/dannet/data/synset-21508,verb,,,,
{talehandling_§1},https://wordnet.dk/dannet/data/synset-21582,noun,60,{lyde_2§1a},https://wordnet.dk/dannet/data/synset-21511,verb,,,,
{talehandling_§1},https://wordnet.dk/dannet/data/synset-21582,noun,60,{læspe_§1},https://wordnet.dk/dannet/data/synset-21512,verb,,,,
{talehandling_§1},https://wordnet.dk/dannet/data/synset-21582,noun,60,{messe_4§2},https://wordnet.dk/dannet/data/synset-21516,verb,,,,
{talehandling_§1},https://wordnet.dk/dannet/data/synset-21582,noun,60,{misrekommandere_§1},https://wordnet.dk/dannet/data/synset-21519,verb,,,,
{talehandling_§1},https://wordnet.dk/dannet/data/synset-21582,noun,60,{mumle_§1},https://wordnet.dk/dannet/data/synset-21523,verb,,,,
{talehandling_§1},https://wordnet.dk/dannet/data/synset-21582,noun,60,{omtale_2§2},https://wordnet.dk/dannet/data/synset-21531,verb,,,,
{talehandling_§1},https://wordnet.dk/dannet/data/synset-21582,noun,60,{overdøve_§1},https://wordnet.dk/dannet/data/synset-21533,verb,,,,
{talehandling_§1},https://wordnet.dk/dannet/data/synset-21582,noun,60,{passiare_§1; sludre_§1},https://wordnet.dk/dannet/data/synset-21556,verb,,,,
{talehandling_§1},https://wordnet.dk/dannet/data/synset-21582,noun,60,{rappe_2§1},https://wordnet.dk/dannet/data/synset-21540,verb,,,,
{talehandling_§1},https://wordnet.dk/dannet/data/synset-21582,noun,60,{raspe_§1c},https://wordnet.dk/dannet/data/synset-21541,verb,,,,
{talehandling_§1},https://wordnet.dk/dannet/data/synset-21582,noun,60,{ringe_1§10 sammen},https://wordnet.dk/dannet/data/synset-21546,verb,,,,
{talehandling_§1},https://wordnet.dk/dannet/data/synset-21582,noun,60,{råbe_§1},https://wordnet.dk/dannet/data/synset-21547,verb,,,,
{talehandling_§1},https://wordnet.dk/dannet/data/synset-21582,noun,60,{skratte_§1b},https://wordnet.dk/dannet/data/synset-21551,verb,,,,
{talehandling_§1},https://wordnet.dk/dannet/data/synset-21582,noun,60,{skræppe_2§2},https://wordnet.dk/dannet/data/synset-21553,verb,,,,
{talehandling_§1},https://wordnet.dk/dannet/data/synset-21582,noun,60,{snakke/tale_§22 godt for nogen; tale_2§23 godt for nogen},https://wordnet.dk/dannet/data/synset-21557,verb,,,,
{talehandling_§1},https://wordnet.dk/dannet/data/synset-21582,noun,60,{snakke_§2a},https://wordnet.dk/dannet/data/synset-21559,verb,,,,
{talehandling_§1},https://wordnet.dk/dannet/data/synset-21582,noun,60,{snakke_§2},https://wordnet.dk/dannet/data/synset-21558,verb,,,,
