source,source URI,source PoS,target,target URI,target PoS,group,decision,comment
{ikkedansk},https://wordnet.dk/dannet/data/synset-73502,adjective,{dansk_1§1; dansken_1§5(2)},https://wordnet.dk/dannet/data/synset-8109,noun,language,,
{vestdansk},https://wordnet.dk/dannet/data/synset-73505,adjective,{dansk_1§1; dansken_1§5(2)},https://wordnet.dk/dannet/data/synset-8109,noun,language,,
{østdansk},https://wordnet.dk/dannet/data/synset-73506,adjective,{dansk_1§1; dansken_1§5(2)},https://wordnet.dk/dannet/data/synset-8109,noun,language,,
{bornholmsk_§1a},https://wordnet.dk/dannet/data/synset-68948,adjective,{dialekt_§1; folkemål_§1; mundart_§1},https://wordnet.dk/dannet/data/synset-8091,noun,language,,
{fynsk_§1a},https://wordnet.dk/dannet/data/synset-68945,adjective,{dialekt_§1; folkemål_§1; mundart_§1},https://wordnet.dk/dannet/data/synset-8091,noun,language,,
{jysk_§1a},https://wordnet.dk/dannet/data/synset-68944,adjective,{dialekt_§1; folkemål_§1; mundart_§1},https://wordnet.dk/dannet/data/synset-8091,noun,language,,
{københavnsk_§1a},https://wordnet.dk/dannet/data/synset-68942,adjective,{dialekt_§1; folkemål_§1; mundart_§1},https://wordnet.dk/dannet/data/synset-8091,noun,language,,
{lollandsk_§1a},https://wordnet.dk/dannet/data/synset-68943,adjective,{dialekt_§1; folkemål_§1; mundart_§1},https://wordnet.dk/dannet/data/synset-8091,noun,language,,
{samsisk_§1a},https://wordnet.dk/dannet/data/synset-68927,adjective,{dialekt_§1; folkemål_§1; mundart_§1},https://wordnet.dk/dannet/data/synset-8091,noun,language,,
{sjællandsk_§1a},https://wordnet.dk/dannet/data/synset-68938,adjective,{dialekt_§1; folkemål_§1; mundart_§1},https://wordnet.dk/dannet/data/synset-8091,noun,language,,
{skånsk_§1a},https://wordnet.dk/dannet/data/synset-68937,adjective,{dialekt_§1; folkemål_§1; mundart_§1},https://wordnet.dk/dannet/data/synset-8091,noun,language,,
{vestjysk_§1a},https://wordnet.dk/dannet/data/synset-68940,adjective,{dialekt_§1; folkemål_§1; mundart_§1},https://wordnet.dk/dannet/data/synset-8091,noun,language,,
{århusiansk_§1a},https://wordnet.dk/dannet/data/synset-68950,adjective,{dialekt_§1; folkemål_§1; mundart_§1},https://wordnet.dk/dannet/data/synset-8091,noun,language,,
{østjysk_§1a},https://wordnet.dk/dannet/data/synset-68941,adjective,{dialekt_§1; folkemål_§1; mundart_§1},https://wordnet.dk/dannet/data/synset-8091,noun,language,,
